Year,Sample Keyword,Total Papers
2004,"describe,use,pharmacophore,modeling,efficient,tool,discovery,novel,integrase,hypothetical,model,binding,diketo,acid,analogues,enzyme,built,means,catalyst",9
2004,"database,data,resources,blast,genbank,retrieval,entrez,pubmed,tools,viewer,conserved,domain,addition,maintaining,r,nucleic,acid,sequence,national",9
2004,"information,processing,applications,systems,queries,need,database,techniques,spatial,nearest,neighbor,modern,computationally,intensive,require,storage,manipulation,voluminous,traditional",9
2005,"science,game,homicide,active,process,inquiry,paper,present,first,test,forensic,experts,recent,years,education,focus,study,development,new",9
2005,,36
2005,"storage,presents,helps,developers,models,paper,design,implement,owl,ontologies,uses,xml,represent,knowledge,given,ontology,deﬁne,rules,generate",9
2005,"scheduling,use,learning,ml,cpu,behavior,programs,linux,analysis,static,dynamic,attributes,processes,process,tat,context,execution,work,machine",9
2005,"performance,security,database,data,must,level,protect,sensitive,provide,techniques,alternative,topologies,complex,used,environment,expertise,strong,rest,developing",9
2005,"relational,semantic,query,databases,using,access,sql,web,applications,still,unable,stored,functionality,hence,needing,fall,back,model,paper",9
2005,"et,eeg,clinical,also,neuroscience,data,database,al,brain,development,well,provide,across,article,issue,individual,science,potential,methods",9
2005,"games,discrete,time,survey,recent,results,value,zerosum,stopping,continuous,non,abstract,borrowed,another,version,item",9
2006,"session,examinations,material,student,learning,classroom,instructors,students,may,even,conduct,often,serve,primary,means,assess,within,environment,increase",9
2006,"present,mdps,probabilistic,practical,nondeterminism,mdp,paper,novel,technique,markov,decision,processes,widely,used,modelling,systems,exhibit,nondeterministic,behaviour",9
2006,,9
2006,"game,study,methodology,interactive,devices,activities,species,describes,analyzes,design,development,application,evaluation,new,pedagogical,based,games,pdas,oriented",9
2006,"conflict,view,integration,complex,task,several,need,addressed,two,identification,resolution,conflicts",9
2006,"games,assignments,students,projects,game,computer,introductory,results,course,option,average,provide,motivation,often,cited,motivational,tool,used,courses",9
2006,"corpus,paper,recorded,based,synthesis,emotions,creation,describes,emotional,speech,standard,basque,designed,twofold,purpose,used,also,allowing,study",9
2006,"game,nash,players,model,source,potential,function,consider,player,minimizes,cost,fractional,prove,multicast,selfish,models,integral,finding,existence",9
2006,"speech,database,vocal,tract,resonances,processing,automatic,techniques,frequency,phonetic,values,cv,vc,transitions,tracking,vtrs,formants,defined,known",9
2007,,18
2007,"capture,data,database,sequence,provide,words,symbols,humanoid,also,paper,patterns,similar,model,input,analogy,systems,used,obtain,robots",9
2007,"nodes,autonomic,networks,costs,games,depend,functionalities,even,modeled,selfish,gain,sense,accomplish,functionality,performance,impossible,achieve,without,however",9
2007,"case,students,develop,business,queries,detect,query,details,plan,data,operations,appropriate,process,diagram,understand,situation,create,billing,discrepancies",9
2007,"configuration,optimal,users,game,usability,network,method,based,strategy,systems,individual,make,trade,tems,important,issue,resolve,problem,optimization",9
2007,"platform,game,factory,proposed,paper,presents,environment,targeted,games,development,industrialization,product,line,definition,architecture,specified,implemented,means,software",9
2007,"situations,superior,jamming,confrontation,approach,strategy,existing,pe,game,algorithms,provide,good,solutions,following,complexities,multiple,control,resources,higher",9
2007,"low,high,condition,games,interdependency,fun,flow,performance,online,mmorpgs,interaction,features,design,conditions,higher,also,obtained,today,millions",9
2007,"game,often,interactivity,gameplay,many,games,narrative,ways,agency,cinema,within,since,cutscene,interactive,new,conceptions,cinematic,representation,current",9
2007,"transporters,analysis,sequences,number,use,transporter,tripartite,periplasmic,family,extracytoplasmic,solute,secondary,widespread,prokaryotic,world,extensively,studied,present,results",9
2008,"numerical,stochastic,differential,new,proof,provided,convergence,paper,concerned,games,diffusions,using,markov,chain,approximation,techniques,developed,existence,saddle",9
2008,"bacterial,databases,providing,burkholderia,species,information,research,community,database,contains,summary,sequences,multiple,strains,given,obtained,generalized,may,complemented",9
2008,"gaze,use,humans,information,intentions,actions,sclera,interpretation,extends,show,also,control,user,human,beings,communicate,abbreviated,ways,dependent",9
2008,"qos,users,providers,grid,performance,jobs,solution,computing,nodes,acceptable,customers,game,job,allocation,problem,differs,traditional,high,systems",9
2008,"one,game,subjects,acknowledgments,national,science,foundation,texas,advanced,research,program,financial,support,faculty,development,leave,university,pittsburgh,time",9
2009,"games,observation,equivalence,consider,general,hybrid,systems,dynamics,system,players,partial,show,suffix,encoding,abstraction,decidability,computability,results,paper",9
2009,,36
2009,"historical,game,gaming,chapter,potential,around,one,developed,two,orienting,experience,system,forms,examines,video,games,tool,given,productive",9
2009,"table,data,relationship,digital,blueprints,company,view,forensics,field,obtain,evidences,extraction,organizations,manage,personnel,account,logistics,etc,system",9
2009,"creative,development,performance,neural,two,field,n,group,behaviour,types,networks,programme,learning,groups,soccer,hockey,p,fluctuation,process",9
2009,"strategies,abstract,game,large,size,approach,extensive,recent,increasing,solved,computing,original,resulting,strategy,found,larger,expressive,method,often",9
2010,"system,technique,distributed,detection,optimization,presented,problem,database,algorithm,transactions,cycles,local,global,really,one,serious,problems,multitasking,concurrent",9
2010,"model,information,new,security,particular,propose,approach,theory,defense,challenges,significant,advances,technology,infrastructure,offer,opportunities,cyberspace,still,far",9
2010,"system,ar,immersive,vr,developed,environments,reality,users,world,players,evaluation,paper,present,new,multiplayer,two,different,namely,virtual",9
2010,,27
2010,"archives,article,scholars,database,ways,databases,memory,category,include,inventory,study,construction,move,toward,within,recent,attempts,practitioners,curators",9
2010,"databases,database,mos,objective,available,image,experiments,prediction,models,made,paper,wireless,wiq,test,images,mean,opinion,scores,obtained",9
2011,"information,culture,reputation,algorithm,collusive,group,sources,systems,game,special,pattern,profit,distribution,state,web,allow,aggregate,many,heritages",9
2011,"databases,language,natural,information,sql,development,intelligent,nlidb,systems,major,almost,retrieving,languages,query,relational,queries,system,idbs,users",9
2011,"femtocell,macrocell,pricing,interference,scenario,resource,allocation,networks,distributed,femtocells,mbs,stackelberg,two,deployed,areas,schemes,effective,paper,investigates",9
2011,"upper,case,players,lower,bounds,bound,price,stability,number,multicast,broadcast,new,improved,ref,almost,seven,years,undirected,network",9
2011,"databases,data,us,firms,innovation,use,public,comets,technology,database,sciences,technologies,organization,individual,covering,include,patents,web,knowledge",9
2011,,18
2011,"student,accounting,active,use,feedback,students,provide,technology,technological,immediate,stakeholders,encourage,educators,opportunities,integrate,creative,curriculum,emphasize,principles",9
2011,"games,software,engineering,model,teaching,benefits,quality,expected,several,various,already,developed,context,yet,still,lack,assessment,models,measure",9
2012,"worlds,pearce,game,online,players,emergent,virtual,book,mmo,prologue,group,behavior,second,one,world,live,affordances,communities,play",9
2012,"relational,databases,mappings,patterns,order,rdf,two,paper,integrate,semantic,web,applications,need,mapped,working,group,process,ratifying,standards",9
2012,,27
2012,"rgd,data,term,search,browser,terms,ontology,database,human,qtls,strains,biological,information,ontologies,upgraded,tree,format,allows,report",9
2012,"updates,games,model,resources,consumption,every,number,player,problems,introduceconsumption,discrete,interactive,system,multiple,consumed,reloade,independently,precisely,game",9
2013,,36
2013,"game,number,poker,actions,size,states,decision,points,estimated,information,algorithm,eld,computational,theory,often,compared,terms,measured,several",9
2013,"mqn,using,molecular,virtual,screening,lbvs,cbd,analogs,universe,database,contains,billion,molecules,atoms,c,n,halogens,obeying,rules",9
2014,"patrol,traffic,stackelberg,game,games,police,present,streets,problem,strategies,work,counterterrorism,first,process,novel,solving,modeling,using,patrols",9
2014,"tools,users,data,causality,explanation,applications,database,surge,availability,information,great,demand,assist,understanding,today,exploration,rely,mostly,visualization",9
2014,"digital,physical,game,design,education,learning,games,attention,principles,play,could,coach,teacher,within,learn,way,capture,sustain,maintain",9
2014,"level,technique,calculation,metrics,events,siem,allows,attack,system,analysis,risks,important,task,information,management,systems,recognizing,current,situation",9
2014,"players,collaborative,design,game,patterns,also,player,interactions,cooperative,became,popular,recent,years,aside,received,well,great,offer,potential",9
2014,"bci,devices,entertainment,applications,brain,research,production,et,al,work,conscious,reliability,commercial,computer,interface,lower,cost,systems,well",9
2014,"risk,among,children,use,sedentary,behaviors,adolescents,computer,game,aor,effect,physical,interventions,studies,relationship,show,mixed,results,fourth",9
2014,"learning,systems,machine,computational,models,human,online,modeling,approaches,techniques,problem,provides,detailed,introduction,concept,application,various,computer,science",9
2015,"methods,performance,linear,greedy,best,method,machine,learning,methodology,data,problems,perform,found,single,application,cheminformatics,large,active,field",9
2015,"perfect,strategies,effect,subjects,noisy,public,private,across,paper,uses,laboratory,experiment,study,structure,play,infinitely,repeated,prisoner,dilemma",9
2015,"nvd,data,vulnerabilities,security,vulnerability,information,applications,one,time,next,various,prediction,suggest,abstract,major,cause,cyber,problems,national",9
2015,"fusion,byzantines,optimum,nodes,fc,behavior,system,provided,local,permits,performance,cases,presence,malicious,often,referred,hindered,necessity,exactly",9
2015,"users,game,enterprise,gamified,dynamics,activities,engagement,ideas,theory,model,influence,whereby,engaged,induced,elements,gaining,interest,among,researchers",9
2015,"animations,disciplines,concepts,many,computer,fundamental,courses,well,evaluation,topics,technology,affects,beyond,science,business,paper,describes,two,developed",9
2015,,18
2015,"management,data,systems,bigdata,conventional,tools,rdbms,observed,utility,study,nosql,traditional,growing,fast,becoming,complex,volume,terabyte,petabyte",9
2015,"computer,simulated,user,scenarios,used,means,facilitate,process,explore,reveal,possible",9
2015,"plant,mirlocator,mature,mirna,class,locating,within,algorithm,machine,learning,prediction,species,micrornas,short,rna,play,regulatory,roles,wide",9
2016,"datasets,videoqa,using,videos,reasoning,events,various,video,synthetic,constructed,automatically,gameplay,existing,often,temporal,dataset,levels,complexity,present",9
2016,"recognition,player,modeling,digital,games,problem,networks,recent,years,seen,growing,interest,aims,accurately,recognize,players,goals,observations,actions",9
2016,,27
2016,"warfare,modelling,scenarios,games,research,autonomous,systems,important,humans,machines,game,theory,role,increasing,dependence,technologies,escalated,international,concern",9
2017,"databases,research,emotion,past,decades,interaction,become,important,daily,lives,developed,many,directions,memory,depression,behavioural,deficiency,lie,hidden",9
2017,"leader,stackelberg,pp,control,three,stochastic,functional,differential,equations,article,consider,mean,field,dominating,player,group,followers,agents,setting",9
2017,"english,language,students,computer,games,learning,grade,young,particularly,learn,national,curriculum,upon,results,purpose,investigate,effectiveness,foreign,extent",9
2017,"design,patterns,user,used,games,game,emotional,state,new,dimension,interaction,improve,experience,domain,computing,work,focus,applications,techniques",9
2017,,18
2017,"model,games,software,game,industry,possible,reliability,checking,approach,method,multiplayer,play,big,role,entertainment,competitive,means,releasing,best",9
2017,"control,using,study,scheme,input,games,deformation,button,one,tested,simple,schemes,binary,action,two,game,mapped,best,results",9
2018,,27
2018,"geospatial,big,databases,sql,nosql,database,handling,postgis,mongodb,large,amount,better,storing,performance,test,loading,result,last,decade",9
2018,"information,framework,sharing,proposed,blockchain,bitcoin,transactions,public,ledger,organizations,paper,design,develop,evaluate,novel,cybersecurity,goal,protecting,confidential",9
2018,"di,database,documents,management,projects,tools,use,storage,nlp,automatic,text,analysis,necessarily,involve,annotation,natural,language,texts,apache",9
2018,"posture,system,children,postures,algorithms,chair,postural,habit,childhood,monitoring,classifying,machine,neural,network,cnn,algorithm,data,cushion,sensor",9
2018,"graph,query,data,present,approach,execution,queries,databases,system,server,copyright,scitepress,science,technology,publications,lda,rights,reserved,inspired",9
2018,"based,system,redirection,images,training,problem,idea,monocular,systems,decision,correction,second,deep,third,teacher,network,propose,general,approach",9
2019,,18
2019,"uncertainty,directions,information,mahjong,chess,games,gr,study,noble,paper,presents,two,evolution,using,multiplayer,incomplete,complete,show,transitions",9
2019,"feynman,diagrams,use,present,str,relations,mathematica,designed,solve,integrals,means,method,uniqueness,euclidean,spacetime,dimension,provide,set,tools",9
2019,"methodology,design,designers,solutions,inspiration,nmf,repositories,dba,method,repository,retrieve,computational,content,proposed,hierarchical,test,important,innovation,gained",9
2019,"students,declarative,serious,emerge,procedural,game,measured,questions,background,games,working,teaching,medical,assessed,satisfaction,use,objective,study,effect",9
2020,"utilizing,prove,perspectives,academical,interactive,game,education,story,results,concepts,applied,ethics,responsible,conduct,research,difficult,teach,due,complexity",9
2020,,18
2020,"data,iot,amount,two,database,huge,evaluating,dbmss,mysql,mongodb,performance,resources,specifications,size,challenge,sensors,heterogeneous,needs,appropriate",9
2020,"dataset,iemocap,feature,study,wa,reliable,ser,mel,spectrogram,reliability,proposed,improvised,results,propose,recognition,long,memory,lstm,component",9
2020,"pieces,bardo,composer,system,identify,generated,paper,generate,music,uses,speech,model,stochastic,beam,search,study,able,correctly,present",9
2021,"disease,laboratory,testing,data,ml,medicine,multiple,approaches,provide,applications,machine,learning,platforms,clinical,human,limitations,streams,including,actionable",9
2021,"insect,using,nir,inputs,r,predict,data,coupled,machine,learning,ml,system,presence,paper,results,developed,based,classification,regression",9
2021,,9
2022,"structure,predictions,alphafold,arguably,year,achieving,previously,unseen,accuracy,critical,assessment,prediction,casp,deepmind,developed,database,make,unprecedented,number",9
2022,"fake,knowledge,media,detection,social,due,helpful,help,proposed,different,spread,days,society,knew,machine,learning,us,data,engineering",9
2022,"databases,update,pruw,submodel,problem,given,constraint,scheme,total,cost,investigate,private,read,write,relation,federated,learning,fsl,constrained",9
2022,"radar,restroom,using,system,behaviors,doppler,machine,methods,results,human,learning,including,cnn,data,features,accuracy,fall,monitoring,study",9
2023,"financial,machine,deep,algorithms,models,price,prediction,analysis,stock,sector,traders,instrument,forecasting,review,article,ensemble,classification,provides,greatly",9
